reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards
"2023.6342","cereals and bakery products","food","Pesticides residues in rice from India","19-09-2023 11:48:42","Belgium","border rejection notification","serious","Netherlands","INFOSAN","","India,Netherlands","India","chlorpyrifos  unauthorised substance"
"2023.6339","non-alcoholic beverages","food","Beverages containing undeclared milk Bevande contenenti latte non dichiarato / Beverages containing undeclared milk","19-09-2023 11:20:38","Italy","border rejection notification","serious","","Hong Kong","China","Hong Kong,Italy","Hong Kong","lactoprotein  ,milk ingredient  traces"
"2023.6334","feed materials","feed","Salmonella spp. and Enterobacteriaceae in dog chews from India","19-09-2023 10:02:34","Germany","information notification for attention","serious","","INFOSAN,India","","Germany,India","India","Enterobacteriaceae  too high count,Salmonella  "
"2023.6330","food contact materials","food contact material","Lead and phthalates in pizza cardboard box","18-09-2023 17:48:15","France","alert notification","serious","Belgium,France","INFOSAN","Belgium,France","Belgium,France,Türkiye","Türkiye","lead  migration,phthalate DBP - dibutyl migration,phthalate DEHP - di(2-ethylhexyl) migration,phthalate DIBP - diisobutyl migration"
"2023.6329","feed materials","feed","Aflatoxine in maize (grain) feed, from Slovakia.","18-09-2023 17:38:08","Netherlands","alert notification","serious","Netherlands","","Slovakia","Netherlands,Slovakia","Slovakia","Aflatoxin B1  "
"2023.6092","dietetic foods, food supplements and fortified foods","food","Non-authorised novel foods and labelling deficiencies in food supplements from the Netherlands","18-09-2023 17:37:58","Germany","information notification for follow-up","not serious","Germany","","Netherlands","Germany,Netherlands","Netherlands",""
"2023.6328","dietetic foods, food supplements and fortified foods","food","unauthorised novel food ingredient cannabidiol (CBD) in food supplements from Bulgaria offered online for sale","18-09-2023 17:22:13","Denmark","information notification for follow-up","potential risk","Denmark","Denmark,Netherlands,Poland","Bulgaria","Bulgaria","Bulgaria",""
"2023.6326","cereals and bakery products","food","tropanic alcaloids in buckwheat flour","18-09-2023 16:15:42","France","alert notification","serious","Belgium,Hong Kong,Morocco,New Caledonia,Portugal,Switzerland","France,INFOSAN","Belgium,Portugal,Switzerland","France","France","atropine  ,scopolamine  "
"2023.6323","food contact materials","food contact material","Plastic stretch film","18-09-2023 15:56:27","France","alert notification","serious","Belgium,France","Belgium","Belgium,France","Belgium,France,Türkiye","Türkiye","DEHA - di(2-ethylhexyl)adipate  migration,phthalate  migration"
"2023.6319","food contact materials","food contact material","Migration of primary aromatic amines (PAA) in kitchen spatulas from China","18-09-2023 12:28:40","Finland","border rejection notification","serious","","Hong Kong","","China,Finland,Hong Kong","China","primary aromatic amines  migration"
"2023.6318","milk and milk products","food","Listeria detected in cheese","18-09-2023 12:17:40","France","alert notification","serious","Belgium","","Belgium","France","France","Listeria monocytogenes "
"2023.6316","food contact materials","food contact material","Migration of Isothiazolinone in paper straws","18-09-2023 11:30:20","Croatia","border rejection notification","potential risk","Croatia","","","China,Croatia","China","benzisothiazolinone (BIT)  migration"
"2023.6314","food contact materials","food contact material","Decor color migration from paper cakes cup","18-09-2023 11:20:50","Croatia","border rejection notification","potential risk","Croatia","","","China,Croatia","China","organoleptic characteristics altered "
"2023.6303","cereals and bakery products","food","Listeria monocytogenes in focaccia bread from the Netherlands","16-09-2023 07:06:31","Netherlands","alert notification","serious","Belgium,Curaçao,Germany,Luxembourg","Belgium,Germany,INFOSAN","Belgium,Germany,Luxembourg","Belgium,Netherlands","Netherlands","Listeria monocytogenes "
"2023.6302","food contact materials","food contact material","Superación de límites de migración global en fiambreras de plástico de Marruecos.Unacceptable global limits of migration  in lunch boxes from Morocco.","15-09-2023 17:09:40","Spain","information notification for follow-up","potential risk","Belgium,France,Gibraltar,Ireland,Italy,Netherlands,Portugal","Belgium,Morocco","Belgium,France,Ireland,Italy,Netherlands,Portugal","Morocco,Spain","Morocco","unfit for use as food contact material  "
"2023.6301","fish and products thereof ","food","Presence of Anisakis spp parasites in Hake Merluccius Merluccius from Spain","15-09-2023 16:51:07","Italy","information notification for attention","not serious","Spain","Spain","","Italy,Spain","Spain","Anisakis  parasitic infestation with"
"2023.6300","fruits and vegetables","food","Mold on the surface of dried plum, packaged in Croatia with raw material from Serbia","15-09-2023 16:40:53","Croatia","information notification for attention","potential risk","Croatia","Serbia","","Croatia,Serbia","Croatia,Serbia",""
"2023.6299","nuts, nut products and seeds","food","Spoilage of pine kernels from the Netherlands","15-09-2023 16:33:04","Germany","information notification for follow-up","not serious","Belgium,Germany","Germany,Netherlands","Belgium,Germany","Netherlands","Netherlands",""
"2023.6297","non-alcoholic beverages","food","Abnormalities in watermelon drink, from Spain","15-09-2023 16:21:38","Netherlands","information notification for follow-up","potential risk","Netherlands","Netherlands","Spain","Netherlands,Spain","Spain",""
"2023.6294","fish and products thereof ","food","MERCURIO IN FILONI DI TONNO A PINNE GIALLE/mercury in chilled tuna (Thunnus albacares) loins from Spain","15-09-2023 15:59:52","Italy","information notification for attention","serious","Spain","Colombia,INFOSAN,Italy,Spain","","Colombia,Italy,Spain","Spain","mercury  "
"2023.6292","poultry meat and poultry meat products","food","Salmonella in poultry kebab skewers from Poland","15-09-2023 15:43:54","Austria","alert notification","serious","Austria,Czech Republic,Germany","Austria,Germany,Poland","Austria,Czech Republic,Germany,Poland,Slovakia","Austria,Poland,Slovakia","Poland","Salmonella spp. "
"2023.6291","animal by-products","feed","Presenza di Salmonella in farina di avicoli essiccata/Presence of Salmonella in dried poultry meal from Italy","15-09-2023 15:32:00","Italy","information notification for follow-up","potential risk","Netherlands","","Netherlands","Italy","Italy","Salmonella  "
"2023.6289","fish and products thereof ","food","Mercurio en atún de Marruecos. Mercury in tuna from Morocco","15-09-2023 15:06:36","Spain","information notification for attention","serious","","INFOSAN","","Morocco,Spain","Morocco","mercury  "
"2023.6288","fruits and vegetables","food","Chlorpyriphos in dried black eye beans from Madagascar","15-09-2023 14:37:29","Norway","alert notification","serious","Austria,Belgium,France,Germany,Hungary,Ireland,Italy,Malta,Norway,Slovakia,Spain,Switzerland","INFOSAN,Ireland,Italy","Austria,Belgium,France,Germany,Hungary,Ireland,Italy,Malta,Norway,Slovakia,Spain,Switzerland","Italy,Madagascar,Norway,United Arab Emirates","Madagascar","chlorpyriphos-ethyl  "
"2023.6285","pet food","feed","Pieces of plastic in petfood from France","15-09-2023 14:13:19","Belgium","information notification for follow-up","potentially serious","Belgium","Belgium","France","France","France",""
"2023.6284","herbs and spices","food","Penthiopyrad in fresh mint from Israel","15-09-2023 14:06:34","Germany","border rejection notification","no risk","","","","Germany,Israel","Israel","pesticide residues  "
"2023.6279","fish and products thereof ","food","Mercury above legal limits in swordfish  from Spain","15-09-2023 12:23:37","Italy","information notification for attention","serious","Bahamas,Belgium,Congo (Brazzaville),Cyprus,Germany,Italy,Netherlands,Philippines,Qatar,Spain,United States","Belgium,Cyprus,Germany,INFOSAN,Netherlands,Philippines,Spain","Italy","Italy,Netherlands,Portugal,Spain","Spain","mercury  "
"2023.6278","poultry meat and poultry meat products","food","Salmonella enteritidis in chicken drumstick from Romania","15-09-2023 12:19:54","Croatia","alert notification","serious","Bulgaria,Croatia,Germany,Hungary,Lebanon,Liberia,Poland,Romania,United Arab Emirates","Bulgaria,Germany,INFOSAN,Poland,Romania,United Arab Emirates","Bulgaria,Germany,Poland,United Arab Emirates","Croatia,Poland,Romania","Romania","Salmonella Enteritidis "
"2023.6277","fruits and vegetables","food","Pesticides residues in vine leaves from Egypt","15-09-2023 12:00:41","Belgium","alert notification","serious","Germany","Germany,INFOSAN","Egypt,Germany,Türkiye","Germany,Türkiye","Egypt","acetamiprid  ,boscalid  ,chlorpyrifos  unauthorised substance,cyfluthrin  ,diflubenzuron  ,emamectin  ,imidacloprid  ,tebuconazole  ,thiophanate-methyl  "
"2023.6276","other food product / mixed","food","Mispackaged/mislabeled snacks from Bangladesh","15-09-2023 11:58:32","Sweden","information notification for follow-up","potentially serious","Denmark,Finland,Germany,Ireland,Poland,Portugal,Spain,Sweden","Denmark,INFOSAN,Ireland,Italy,Portugal,Spain,Sweden","Bangladesh,Denmark,Finland,Germany,Ireland,Poland,Portugal,Spain,Sweden","Denmark,Ireland","Denmark",""
"2023.6275","poultry meat and poultry meat products","food","Tulathromycin in turkey meat from Poland","15-09-2023 11:41:47","Poland","information notification for follow-up","not serious","Czech Republic,Germany,Greece,Romania,Spain","Germany,Poland","Czech Republic,Germany,Greece,Romania,Spain","Czech Republic,Poland,Romania","Poland","tulathromycin  unauthorised"
"2023.6273","poultry meat and poultry meat products","food","Salmonella enterica ser. Infantis (present /25g) in chilled chicken breast fillet from Slovakia, with raw material from Ukraine ","15-09-2023 10:05:06","Czech Republic","information notification for attention","potentially serious","Slovakia","Poland","Poland,Slovakia","Czech Republic,Poland,Slovakia,Ukraine","Ukraine","Salmonella infantis "
"2023.6271","fish and products thereof ","food","Histamine in tuna, from Sri Lanka","15-09-2023 09:49:35","Netherlands","information notification for attention","potential risk","Netherlands","INFOSAN,Netherlands,Sri Lanka","","Netherlands,Sri Lanka","Sri Lanka","histamine  "
"2023.6266","feed materials","feed","Salmonella in rapeseed meal ","14-09-2023 17:25:16","Switzerland","information notification for follow-up","not serious","Switzerland","Germany","Germany","Germany,Switzerland","Germany","Salmonella  "
"2023.6265","fish and products thereof ","food","Presence of Listeria monocytogenes in fresh salmon from Norway","14-09-2023 17:25:08","Italy","information notification for follow-up","potentially serious","Italy,Portugal,Spain","Italy,Poland,Portugal,Spain","Norway","Italy,Norway,Portugal,Spain","Norway","Listeria monocytogenes "
"2023.6264","feed materials","feed","Salmonella in rapeseed meal","14-09-2023 17:21:52","Switzerland","information notification for follow-up","not serious","Switzerland","France,Germany","","France,Switzerland","Germany","Salmonella  "
"2023.5428","herbs and spices","food","Pyrrolizidine alkaloids (3292 µg/kg - ppb) in dried oregano from Türkiye, via Italy","14-09-2023 17:21:15","Luxembourg","alert notification","serious","Australia,Azerbaijan,Belgium,Canada,France,Italy,Luxembourg,Slovenia,United Kingdom,United States","Belgium,Germany,INFOSAN,Italy,Lithuania,Luxembourg,Netherlands,Poland,Türkiye,United Kingdom","Australia,Belgium,Canada,France,Germany,Italy,Lithuania,Luxembourg,Netherlands,Poland,Slovenia,Türkiye,United Kingdom,United States","Italy,Luxembourg,Türkiye","Türkiye","pyrrolizidine alkaloids  "
"2023.5742","pet food","feed","Consumer complaint on pet food from Germany","14-09-2023 17:04:54","Poland","information notification for attention","potential risk","Poland","Germany,Poland","Poland","Germany,Poland","Germany",""
"2023.6263","herbs and spices","food","Foreign bodies (Stones and other foreign objects) in rubbed mint from Egypt","14-09-2023 16:55:12","Germany","alert notification","serious","Germany,Poland","INFOSAN","Poland","Egypt,Germany","Egypt","foreign body  "
"2023.6261","dietetic foods, food supplements and fortified foods","food","przekroczenie NDP rtęci w suplementach diety z Polski // exceeding the MRL for mercury in food supplements from Poland","14-09-2023 16:45:44","Poland","information notification for follow-up","not serious","Bulgaria,Croatia,Czech Republic,Germany,Greece,Hungary,Italy,Kazakhstan,Lithuania,Netherlands,Poland,Portugal,Slovakia,Slovenia,Switzerland","INFOSAN,Poland","Bulgaria,Croatia,Czech Republic,Germany,Greece,Hungary,Italy,Kazakhstan,Lithuania,Netherlands,Portugal,Slovakia,Slovenia,Switzerland","Poland","Poland","mercury  "
"2023.6260","fruits and vegetables","food","ETO in frozen garlic","14-09-2023 16:18:19","Belgium","alert notification","potentially serious","Belgium,France,Germany,Ireland,Netherlands,Portugal,Spain,Switzerland","Belgium,INFOSAN,Spain","China,France,Germany,Ireland,Netherlands,Portugal,Spain,Switzerland","Belgium,China,Spain","China,Spain","2-chloroethanol  "
"2023.6258","dietetic foods, food supplements and fortified foods","food","suplement diety spełnia kryterium definicji dla produktu leczniczego /// a food supplement due to its composition meets the definition criterion for a medicinal product","14-09-2023 15:46:56","Poland","information notification for follow-up","potential risk","Albania,Malta,Poland,Romania","Albania,Poland","Albania,Malta,Romania","Poland,Romania","Poland",""
"2023.6257","nuts, nut products and seeds","food","Aflatoxin B1 in Brazil nuts from Brazil","14-09-2023 15:32:33","Netherlands","alert notification","serious","Austria,Belgium,Czech Republic,Germany,Greece,Ireland,Netherlands,Norway,Poland,Slovakia,Spain","Belgium,INFOSAN,Netherlands,Slovakia","Austria,Belgium,Czech Republic,Germany,Greece,Ireland,Netherlands,Norway,Poland,Spain","Brazil,Czech Republic,Greece,Netherlands,Slovakia","Brazil,Greece","Aflatoxin B1  "
"2023.6255","cereals and bakery products","food","Aflatoxin B1 in red raw rice","14-09-2023 15:07:18","Switzerland","alert notification","serious","Germany,Netherlands,Switzerland","Germany,INFOSAN,Netherlands","","India,Netherlands","Netherlands","Aflatoxin B1  "
"2023.6254","nuts, nut products and seeds","food","Aflatoxin in USA groundnuts","14-09-2023 14:08:27","Netherlands","border rejection notification","serious","","INFOSAN,United States","","Netherlands,United States","United States","Aflatoxin B1  ,aflatoxin total "
"2023.6249","dietetic foods, food supplements and fortified foods","food","Lead and mercury in ayurvedic food supplements from India","14-09-2023 12:15:03","Germany","information notification for attention","serious","Germany","INFOSAN,India","","Germany,India","India","arsenic  ,lead  high content,mercury  "
"2023.6248","food contact materials","food contact material","Border rejection of plastic cutlery due to containing the unauthorised substance wheat straw","14-09-2023 12:08:42","Ireland","border rejection notification","not serious","Ireland","INFOSAN,Ireland,United Kingdom","China,United Kingdom","United Kingdom","China",""
"2023.6246","nuts, nut products and seeds","food","Chloropiryfos w produkcie pn. Mak niebieski // Exceeding the MRL for chlorpyrifos residues in blue poppy seeds from Slovakia","14-09-2023 11:46:36","Poland","information notification for follow-up","potential risk","Poland","","Slovakia","Poland,Slovakia","Slovakia","chlorpyrifos  "
"2023.6245","nuts, nut products and seeds","food","aflatoxins in groundnuts from The United States","14-09-2023 10:16:47","Netherlands","border rejection notification","serious","","United States","","Netherlands,United States","United States","Aflatoxin B1  ,aflatoxin total "
"2023.6244","nuts, nut products and seeds","food","Aflatoxins in U.S.A. peanuts","14-09-2023 10:15:55","Netherlands","border rejection notification","serious","","United States","","Netherlands,United States","United States","Aflatoxin B1  ,aflatoxin total "
"2023.6243","fruits and vegetables","food","chlorpyrifos-methyl and etoxazole in sweet peppers from Turkey","14-09-2023 09:11:54","Bulgaria","border rejection notification","serious","","","","Bulgaria,France,Türkiye","Türkiye","chlorpyrifos  ,etoxazole  "
"2023.6242","fruits and vegetables","food","Forchlorfenuron in pitahayas from Vietnam","13-09-2023 18:20:03","France","border rejection notification","not serious","","Vietnam","","France,Vietnam","Vietnam","Forchlorfenuron  "
"2023.6241","fruits and vegetables","food","Some cans are bulging and smell strange after opening in Chang Sheng","13-09-2023 17:34:13","Netherlands","information notification for follow-up","potential risk","Netherlands,Spain","China,Hong Kong,INFOSAN","Spain","China,Netherlands","Hong Kong",""
"2023.6240","fish and products thereof ","food","Listeria monocytogenes in smoked trout","13-09-2023 16:56:33","Denmark","alert notification","serious","Austria,Belgium,Czech Republic,France,Germany,Luxembourg,Netherlands,Portugal,Spain,Switzerland","Denmark,Germany,Netherlands","Austria,Belgium,Czech Republic,France,Germany,Luxembourg,Netherlands,Portugal,Spain,Switzerland","Belgium,Denmark,Germany,Netherlands","Denmark","Listeria monocytogenes "
"2023.6239","alcoholic beverages","food","Possible risk of bursting (due to yeasts) of bottles with wine-based beverage from Germany","13-09-2023 16:29:29","Germany","alert notification","serious","Bulgaria,Czech Republic,Germany,Romania,Slovakia","Czech Republic,Germany","Bulgaria,Czech Republic,Romania,Slovakia","Bulgaria,Czech Republic,Germany,Romania","Germany","yeasts  high count"
"2023.6237","fruits and vegetables","food","Heptachlor (and dieldrin) in frozen courgette slices","13-09-2023 16:23:49","France","information notification for attention","potentially serious","France,Jordan","INFOSAN","","France","France","dieldrin  prohibited substance,heptachlor  prohibited substance"
"2023.6236","poultry meat and poultry meat products","food","Salmonella Enteritidis and Salmonella Infantis in minced chicken meat from Netherlands ","13-09-2023 16:19:53","Italy","alert notification","serious","Italy","Poland","Netherlands","Italy,Netherlands","Netherlands","Salmonella Enteritidis ,Salmonella infantis "
"2023.6235","prepared dishes and snacks","food","Listeria monocytogenes in Chickenburger from Austria","13-09-2023 16:16:46","Austria","information notification for attention","potentially serious","Austria,Italy","Italy","","Austria","Austria","Listeria monocytogenes "
"2023.6234","meat and meat products (other than poultry)","food","Salmonella Infantis and Livingstone in chilled minced  pork from Germany","13-09-2023 15:54:25","Hungary","information notification for attention","serious","Hungary","Germany,Hungary","","Germany,Hungary","Germany","Salmonella Livingstone ,Salmonella infantis "
"2023.6233","fruits and vegetables","food","Metalaxyl in fresh cucumbers for further processing from Serbia","13-09-2023 15:52:12","Slovenia","border rejection notification","not serious","Slovenia","INFOSAN","","Serbia,Slovenia","Serbia","metalaxyl  "
"2023.6231","cereals and bakery products","food","Atropine and scopolamine in organic sorghum flour from Italy","13-09-2023 15:33:43","Norway","alert notification","serious","Austria,Bulgaria,Croatia,Denmark,Finland,France,Germany,Italy,Norway,Poland,Spain,Sweden","Austria,Croatia,Germany","Austria,Bulgaria,Croatia,Denmark,Finland,France,Germany,Italy,Norway,Poland,Slovenia,Spain,Sweden","Austria,Germany,Italy,Norway,Poland,Sweden","Italy","atropine  ,scopolamine  "
"2023.6224","poultry meat and poultry meat products","food","Påvisad listeria i kyckling grillkorv/// Listeria in chicken barbecue sausages","13-09-2023 13:53:50","Sweden","alert notification","potentially serious","Finland,Sweden","Finland","Finland,Sweden","Sweden","Sweden","Listeria monocytogenes "
"2023.6223","dietetic foods, food supplements and fortified foods","food","przekroczenie NDP rtęci w suplemencie diety z Polski // exceeding the MRL for mercury in food supplements from Poland","13-09-2023 13:48:56","Poland","information notification for follow-up","not serious","Bulgaria,Poland","","Bulgaria","Poland","Poland","mercury  "
"2023.6222","fruits and vegetables","food","Chlorpyrifos in fresh mandarins from Egypt","13-09-2023 13:00:06","Greece","border rejection notification","serious","","","Egypt","Egypt","Egypt","chlorpyrifos  unauthorised substance"
"2023.6221","food contact materials","food contact material","Unstable Migration of Formaldehyde from Melamine Bowl Stopped at Dublin Port","13-09-2023 12:21:05","Ireland","information notification for attention","potential risk","","INFOSAN,United Kingdom","","China","United Kingdom","formaldehyde  migration"
"2023.6219","other food product / mixed","food","Undeclared allergen in Hummus Tahini","13-09-2023 11:52:07","Sweden","alert notification","serious","Sweden","INFOSAN","Denmark","Sweden,Türkiye","Türkiye",""
"2023.6218","fish and products thereof ","food","Mercurio en mero (Epinephelus guaza) de Túnez. Mercury in grouper fish (Epinephelus guaza) from Tunisia.","13-09-2023 11:49:15","Spain","information notification for attention","serious","Spain","","","Spain,Tunisia","Tunisia","mercury  "
"2023.6217","poultry meat and poultry meat products","food","Salmonella spp. in poultry meat preparations from Italy","13-09-2023 11:32:38","Germany","information notification for attention","serious","Germany","Italy","","Germany,Italy","Italy","Salmonella spp  ,Salmonella spp. "
"2023.6214","poultry meat and poultry meat products","food","Temperature failure in chilled chicken breast from Ukraine","13-09-2023 11:07:29","Hungary","border rejection notification","potential risk","Slovakia","Ukraine","Ukraine","Netherlands,Slovakia,Ukraine","Ukraine",""
"2023.6213","fruits and vegetables","food","Ochratoxin A in sultanas from Türkiye via the Netherlands","13-09-2023 11:04:52","Germany","alert notification","potentially serious","Germany,Netherlands","INFOSAN","Netherlands","Germany,Netherlands,Türkiye","Türkiye","ochratoxin A  "
"2023.6212","fats and oils","food","Mineral oil components (MOSH and MOAH) in rice oil from Thailand via the Netherlands","13-09-2023 10:48:32","Germany","information notification for follow-up","potentially serious","Austria,Belgium,Czech Republic,Denmark,Estonia,Finland,France,Germany,Iceland,Lithuania,Luxembourg,Poland,Portugal,Spain,Sweden,Switzerland","Germany,Luxembourg","Austria,Belgium,Czech Republic,Denmark,Estonia,Finland,France,Germany,Iceland,Lithuania,Luxembourg,Netherlands,Poland,Portugal,Spain,Sweden,Switzerland","Germany,Netherlands,Poland,Thailand","Thailand","mineral oil  "
"2023.6210","fruits and vegetables","food","Pesticide analysis result for oranges - MRL exceeded for Imazalil ","13-09-2023 10:29:14","Denmark","information notification for follow-up","potentially serious","Denmark,Netherlands","INFOSAN,Netherlands,South Africa","Netherlands","Netherlands,South Africa","South Africa","imazalil  "
"2023.6209","feed materials","feed","Ruminant DNA detected in fish feed from Peru","13-09-2023 10:26:14","Belgium","border rejection notification","not serious","","Peru","","Belgium,Peru","Peru","DNA ruminant presence"
"2023.6206","fruits and vegetables","food","Not declared allergen celery in Frutta da bere","13-09-2023 09:33:26","Netherlands","alert notification","serious","Italy","Netherlands","Italy","Netherlands","Netherlands",""
"2023.6205","dietetic foods, food supplements and fortified foods","food","Mercury and pesticides residues  in food supplements from India","13-09-2023 09:27:35","Croatia","border rejection notification","potential risk","Croatia","India","","Croatia,India","India","acetamiprid  ,malathion  ,mercury  "
"2023.6203","crustaceans and products thereof","food","Vibrio cholerae in shrimps from Ecuador","13-09-2023 08:31:31","Romania","border rejection notification","potential risk","","Ecuador","","Ecuador,Romania","Ecuador","Vibrio cholerae "
"2023.6200","dietetic foods, food supplements and fortified foods","food","Adverse effects from food supplement","12-09-2023 17:27:37","Sweden","information notification for follow-up","potentially serious","Sweden","","Estonia","Estonia","Estonia",""
"2023.6199","food contact materials","food contact material","free volatile organic matter content exceeded on baby bottle teats","12-09-2023 17:18:48","France","alert notification","serious","France","Austria,Belgium,China,Czech Republic,Germany,INFOSAN,Italy,Luxembourg,Netherlands,Poland,Spain","Belgium,France,Netherlands","France,Netherlands","China","volatile organic constituents  migration"
"2023.6198","meat and meat products (other than poultry)","food","Bulging packaging and material leakage in canned meat intended for armed forces and produced in Slovenia","12-09-2023 17:12:36","Italy","information notification for follow-up","not serious","Italy","Italy","Slovenia","Italy,Slovenia","Slovenia","improper seaming cans "
"2023.6195","fish and products thereof ","food"," Anisakis en pez (San Pedro) de Marruecos. Anisakis in Zeus faber from Morocco","12-09-2023 14:56:03","Spain","border rejection notification","serious","","","","Morocco,Spain","Morocco",""
"2023.6193","fish and products thereof ","food","Anisakis en huevas de merluza de Marruecos. Anisakis in hake roe from Morocco.","12-09-2023 14:54:19","Spain","border rejection notification","not serious","","","","Morocco,Spain","Morocco",""
"2023.6192","herbs and spices","food","Salmonella in betel leaves from India","12-09-2023 14:36:29","France","border rejection notification","serious","","","","France,India","India","Salmonella  "
"2023.6187","herbs and spices","food","Ochratoxine A in cayenne pepper from Turkey","12-09-2023 12:43:34","Netherlands","alert notification","serious","Austria,Belgium,Germany,Netherlands,Sweden","INFOSAN,Netherlands,Türkiye","Austria,Belgium,Germany,Netherlands,Sweden,Türkiye","Netherlands,Türkiye","Türkiye","ochratoxin A  "
"2023.6186","nuts, nut products and seeds","food","SESAME SEEDS FROM ETHIOPIA WITH ABSENCE OF OFFICIAL CERTIFICATES","12-09-2023 12:27:05","Greece","border rejection notification","potential risk","","","Ethiopia","Ethiopia,Greece","Ethiopia",""
"2023.6185","nuts, nut products and seeds","food","SESAME SEEDS FROM ETHIOPIA WITH ABSENCE OF OFFICIAL CERTIFICATES","12-09-2023 12:24:18","Greece","border rejection notification","potential risk","","","Ethiopia","Ethiopia,Greece","Ethiopia",""
"2023.6184","cephalopods and products thereof","food","Cadmium in squid from Italy","12-09-2023 11:52:21","Germany","information notification for follow-up","potentially serious","Austria,Germany,Italy,Switzerland","Austria,Germany,Italy,Slovenia,Spain,Switzerland","Austria,Germany,Italy,Slovenia,Spain,Switzerland","Austria,Germany,Italy,Slovenia,Spain,Switzerland","Italy","cadmium  "
"2023.6177","fruits and vegetables","food","Improper test report (sampling has not been done by the competent authority of third country) for mushrooms from Russia","12-09-2023 08:52:13","Latvia","border rejection notification","no risk","","Russia","Russia","Latvia,Lithuania,Russia","Russia",""
"2023.6176","fruits and vegetables","food","Improper test report (sampling has not been done by the competent authority of third country) for mushrooms from Russia","12-09-2023 08:51:51","Latvia","border rejection notification","no risk","","","Russia","Latvia,Lithuania,Russia","Russia",""
"2023.6175","fruits and vegetables","food","Improper test report (sampling has not been done by the competent authority of third country) for mushrooms from Russia","12-09-2023 08:51:29","Latvia","border rejection notification","no risk","","","Russia","Latvia,Lithuania,Russia","Russia",""
"2023.6172","meat and meat products (other than poultry)","food","Listeria monocytogenes in bacon from Poland","11-09-2023 17:14:51","Poland","alert notification","serious","Estonia","","Estonia","Poland","Poland","Listeria monocytogenes "
"2023.6171","fish and products thereof ","food","Breaded fish fillets with a wrong smell and taste","11-09-2023 16:34:33","Denmark","information notification for follow-up","not serious","Denmark,Sweden","","Netherlands,Sweden","Sweden","Netherlands",""
"2023.6169","fruits and vegetables","food","Cypermethrin and carbendazim in Burmese Grape (Baccaurea ramiflora) from Bangladesh","11-09-2023 15:50:34","Germany","border rejection notification","potentially serious","Germany","Bangladesh,INFOSAN","Bangladesh","Bangladesh,Germany","Bangladesh","carbendazim  unauthorised substance,cypermethrin  "
"2023.6165","fruits and vegetables","food","chlorpyrifos - methyl in pepers from Türkiye","11-09-2023 15:00:06","Bulgaria","border rejection notification","serious","","Türkiye","","Bulgaria,Germany,Türkiye","Türkiye","chlorpyrifos-methyl  "
"2023.6164","fruits and vegetables","food","formetanate in fresh pepper from Türkiye","11-09-2023 14:57:26","Bulgaria","border rejection notification","serious","","","","Bulgaria,Netherlands,Türkiye","Türkiye","formetanate  "
"2023.5793","confectionery","food","Unauthorised ingredient delta-9-tetrahydrocannabinol (THC) and unauthorised ingredient cannabidiol (CBD) in cannabis chocolate from Czech Republic","11-09-2023 14:26:31","Germany","information notification for follow-up","potentially serious","Germany","","Czech Republic,France","Czech Republic,France,Germany,Luxembourg","Czech Republic","cannabidiol (CBD)  unauthorised novel food ingredient,tetrahydrocanabinol (THC)  "
"2023.6160","fruits and vegetables","food","Carbendazim (0,34 +/- 0,17 mg/kg) in frozen raspberries from Ukraine","11-09-2023 12:45:19","Poland","border rejection notification","potentially serious","","Ukraine","Ukraine","Poland,Ukraine","Ukraine","carbendazim  unauthorised substance"
"2023.6156","confectionery","food","E 123 unauthorized additive in lollypops","11-09-2023 12:16:37","Italy","information notification for attention","not serious","","Italy","","China,Italy","China","colour E 123 - amaranth unauthorised use"
"2023.6155","poultry meat and poultry meat products","food","Salmonella serogroup C in poultry kebab rotisserie from Austria","11-09-2023 11:12:59","Austria","alert notification","serious","Austria,Slovakia","","Slovakia","Austria,Slovakia","Austria","Salmonella spp  ,Salmonella spp. "
"2023.6151","fruits and vegetables","food","Chlorfenapyr, propiconazole and cypermethrin in chilli peppers from Cambodia","11-09-2023 09:10:54","Czech Republic","border rejection notification","serious","","INFOSAN","Cambodia","Cambodia,Czech Republic","Cambodia","chlorfenapyr  unauthorised substance,cypermethrin  ,propiconazole  "
"2023.6148","cereals and bakery products","food","Lack of precautionary labelling on bakery products from Spain","08-09-2023 17:12:54","Spain","alert notification","potentially serious","Dominican Republic,Portugal","INFOSAN","Dominican Republic,Portugal","Spain","Spain",""
"2023.6147","poultry meat and poultry meat products","food","Salmonella enteritidis in chicken and chicken parts from Germany","08-09-2023 16:31:57","Netherlands","information notification for attention","serious","Germany,Netherlands","Germany,Netherlands","","Germany,Netherlands","Germany","Salmonella Enteritidis "
"2023.6146","feed premixtures","feed","too high dosage of lasalocid (5520 mg/kg - ppm) in feed premix from Germany","08-09-2023 16:05:12","Poland","information notification for follow-up","not serious","Poland","Germany","Germany,Poland","Germany,Poland","Poland","lasalocid  too high dosage"
"2023.6145","meat and meat products (other than poultry)","food","Salmonella spp. in „Dry marinated Traditional neck steacks 400g from Lithuania","08-09-2023 15:55:48","Estonia","information notification for attention","serious","Estonia","Estonia,Lithuania","","Estonia,Lithuania","Lithuania","Salmonella spp. "
